,REF_BACEN,NU_ORDEM,DT_EMISSAO,DT_VENCIMENTO,CD_ESTADO,CD_EMPREENDIMENTO,idPrograma,idIrrigacao,CD_TIPO_AGRICULTURA,idCiclo,CD_TIPO_CULTIVO,idGrao,DT_FIM_COLHEITA,DT_FIM_PLANTIO,DT_INIC_COLHEITA,DT_INIC_PLANTIO,DT_COMUNICACAO,idCultivar,idSolo,idEvento
10445,510344376,1,08/07/2020,15/04/2021,RS,"1,20E+13",1.0,1.0,3.0,22.0,0.0,0.0,20/01/2021,,01/12/2020,,21/08/2020,99.0,9.0,110.0
10474,512836554,1,28/09/2021,19/11/2022,RS,"1,20E+13",1.0,1.0,3.0,22.0,0.0,0.0,20/08/2022,,01/08/2022,,27/07/2022,11.0,3.0,48.0
10475,10066493,1,05/06/2017,15/02/2018,RS,"1,20E+13",1.0,1.0,3.0,22.0,2.0,8.0,30/11/2017,06/30/2017 ,01/11/2017,01/06/2017,16/10/2017,3.0,3.0,17.0
10489,507112183,1,10/08/2018,06/08/2019,PR,"1,20E+13",1.0,1.0,7.0,22.0,2.0,8.0,30/01/2019,09/30/2018 ,25/01/2019,21/09/2018,03/01/2019,1.0,3.0,48.0
10507,504864640,1,12/06/2017,17/11/2017,PR,"1,20E+13",1.0,1.0,3.0,22.0,2.0,8.0,,,,,10/08/2017,3.0,3.0,48.0
10554,508794176,1,09/08/2019,02/08/2020,MG,"1,20E+13",1.0,4.0,3.0,1.0,1.0,0.0,31/05/2020,08/31/2019 ,01/05/2020,01/08/2019,10/03/2020,1.0,2.0,31.0
10557,507945216,1,08/01/2019,26/08/2019,PR,"1,20E+13",1.0,1.0,7.0,22.0,2.0,8.0,25/05/2019,01/23/2019 ,20/05/2019,20/01/2019,11/06/2019,2.0,3.0,17.0
10572,512947276,1,18/10/2021,15/05/2022,PR,"1,20E+13",1.0,1.0,3.0,22.0,3.0,3.0,15/02/2022,10/28/2021 ,13/02/2022,26/10/2021,11/04/2022,1.0,3.0,17.0
10575,512807758,1,23/09/2021,15/05/2022,PR,"1,20E+13",1.0,1.0,7.0,22.0,0.0,8.0,15/02/2022,10/20/2021 ,11/02/2022,11/10/2021,04/01/2022,99.0,3.0,48.0
10602,514125396,1,08/07/2022,10/05/2023,RS,"1,20E+13",1.0,1.0,5.0,22.0,0.0,8.0,10/02/2023,08/25/2022 ,20/12/2022,01/08/2022,21/12/2022,1.0,3.0,48.0
10611,508757022,1,02/08/2019,20/06/2020,RS,"1,20E+13",1.0,1.0,7.0,22.0,2.0,8.0,21/04/2020,12/24/2019 ,10/03/2020,25/10/2019,20/03/2020,3.0,3.0,48.0
10621,510987698,1,09/10/2020,14/05/2021,PR,"1,20E+13",1.0,0.0,7.0,22.0,0.0,8.0,15/02/2021,10/15/2020 ,10/02/2021,10/10/2020,10/02/2021,1.0,3.0,17.0
10632,512455506,2,04/08/2021,31/07/2022,RS,"1,20E+13",1.0,1.0,7.0,22.0,0.0,8.0,30/04/2022,12/30/2021 ,15/03/2022,15/11/2021,04/03/2022,6.0,3.0,48.0
10643,507027885,1,30/07/2018,26/01/2020,PR,"1,20E+13",1.0,1.0,7.0,22.0,2.0,8.0,13/02/2019,09/23/2018 ,10/02/2019,21/09/2018,20/12/2018,1.0,3.0,48.0
10671,511663875,1,08/03/2021,07/11/2021,PR,"1,20E+13",1.0,1.0,7.0,22.0,0.0,8.0,18/07/2021,03/20/2021 ,06/06/2021,03/03/2021,01/07/2021,1.0,3.0,24.0
10672,511268130,1,02/12/2020,30/10/2021,PR,"1,20E+13",1.0,1.0,7.0,22.0,0.0,8.0,18/07/2021,03/20/2021 ,06/06/2021,06/02/2021,04/06/2021,1.0,3.0,48.0
10691,509831558,1,03/03/2020,14/12/2020,PR,"1,20E+13",50.0,1.0,7.0,22.0,0.0,8.0,24/07/2020,02/18/2020 ,10/07/2020,15/02/2020,15/06/2020,99.0,3.0,24.0
10716,512086721,1,08/06/2021,10/01/2022,PR,"1,20E+13",50.0,1.0,3.0,22.0,0.0,8.0,30/09/2021,07/10/2021,20/09/2021,28/05/2021,05/08/2021,1.0,3.0,24.0
10717,512086721,1,08/06/2021,10/01/2022,PR,"1,20E+13",50.0,1.0,3.0,22.0,0.0,8.0,30/09/2021,07/10/2021,20/09/2021,28/05/2021,05/08/2021,1.0,3.0,17.0
